ledger_id,pathogen_type,gap_category,field_or_drug,description,source_artifact,n_strata_or_rows,metric_summary,bound_lower_example,bound_upper_example,assumption_or_caveat,justice_reference,version,date_added
bacterial_beta_lactamase_detection_only,bacterial,detection_only_genotype_field,Beta Lactamase (POS/NEG/blank),"Blank beta-lactamase field means untested, not negative — prevalence reported as Manski bounds, never a bare point estimate (Justice Section 5 Step 8).",bounds/beta_lactamase_bounds_v1.csv,339,191 strata with low_n_stratum=True,0.0,1.0,assumption_free_manski,Section 5 Step 8; Section 4 profiling,v1,2026-07-14
bacterial_EUCAST_v8.1_breakpoint,bacterial,interpretable_classification,EUCAST_v8.1_breakpoint,"Master-table classification_basis value; 46,513 isolate-drug rows.",master/master_table_v1.csv,46513,40.8% of bacterial master rows,,,Standard breakpoint or ECV basis — point S/I/R or WT/NWT interpretable.,Section 5 Step 7,v1,2026-07-14
bacterial_EUCAST_v10.0_breakpoint,bacterial,interpretable_classification,EUCAST_v10.0_breakpoint,"Master-table classification_basis value; 35,287 isolate-drug rows.",master/master_table_v1.csv,35287,31.0% of bacterial master rows,,,Standard breakpoint or ECV basis — point S/I/R or WT/NWT interpretable.,Section 5 Step 7,v1,2026-07-14
bacterial_no_eucast_breakpoint_published,bacterial,breakpoint_or_standard_absent,no_eucast_breakpoint_published,"Master-table classification_basis value; 21,859 isolate-drug rows.",master/master_table_v1.csv,21859,19.2% of bacterial master rows,,,No interpretable resistance/susceptibility category for this basis.,Section 5 Step 7,v1,2026-07-14
bacterial_no_eucast_drug_match,bacterial,breakpoint_or_standard_absent,no_eucast_drug_match,"Master-table classification_basis value; 9,842 isolate-drug rows.",master/master_table_v1.csv,9842,8.6% of bacterial master rows,,,No interpretable resistance/susceptibility category for this basis.,Section 5 Step 7,v1,2026-07-14
bacterial_eucast_breakpoint_censored_reading_indeterminate,bacterial,indeterminate_reading,eucast_breakpoint_censored_reading_indeterminate,Master-table classification_basis value; 362 isolate-drug rows.,master/master_table_v1.csv,362,0.3% of bacterial master rows,,,EUCAST censored/indeterminate MIC reading.,Section 5 Step 7,v1,2026-07-14
fungal_CLSI_breakpoint,fungal,interpretable_classification,CLSI_breakpoint,"Master-table classification_basis value; 100,903 isolate-drug rows.",master/master_table_v1.csv,100903,44.0% of fungal master rows,,,Standard breakpoint or ECV basis — point S/I/R or WT/NWT interpretable.,Section 5 Step 7,v1,2026-07-14
fungal_ECV_WT_NWT,fungal,interpretable_classification,ECV_WT_NWT,"Master-table classification_basis value; 80,470 isolate-drug rows.",master/master_table_v1.csv,80470,35.1% of fungal master rows,,,Standard breakpoint or ECV basis — point S/I/R or WT/NWT interpretable.,Section 5 Step 7,v1,2026-07-14
fungal_unclassifiable_no_standard,fungal,breakpoint_or_standard_absent,unclassifiable_no_standard,"Master-table classification_basis value; 48,000 isolate-drug rows.",master/master_table_v1.csv,48000,20.9% of fungal master rows,,,No interpretable resistance/susceptibility category for this basis.,Section 5 Step 7,v1,2026-07-14
fungal_species_drug_unclassifiable,fungal,breakpoint_and_ecv_absent,species-drug pairs with n_unclassifiable>0,Fungal pairs lacking both CLSI breakpoint and ECV reference — no point susceptibility/resistance rate (Justice Section 4.4).,bounds/antifungal_ecv_classification_v1.csv,1655,"48,000 unclassifiable isolate-drug rows summed",,,Reported as identified range or excluded from tier rates.,Section 4.4; Section 5 Step 7,v1,2026-07-14
fungal_no_clsi_itraconazole,fungal,breakpoint_absent_drug,itraconazole,Justice Section 4.4: no usable CLSI category for most species — ECV or MIC distribution range only.,master/master_table_v1.csv,22423,"1,907 rows unclassifiable_no_standard",,,ECV tier used where reference exists; else unclassifiable.,Section 4.4 Table 5,v1,2026-07-14
fungal_no_clsi_posaconazole,fungal,breakpoint_absent_drug,posaconazole,Justice Section 4.4: no usable CLSI category for most species — ECV or MIC distribution range only.,master/master_table_v1.csv,26910,"2,154 rows unclassifiable_no_standard",,,ECV tier used where reference exists; else unclassifiable.,Section 4.4 Table 5,v1,2026-07-14
fungal_no_clsi_flucytosine,fungal,breakpoint_absent_drug,flucytosine,Justice Section 4.4: no usable CLSI category for most species — ECV or MIC distribution range only.,master/master_table_v1.csv,6926,745 rows unclassifiable_no_standard,,,ECV tier used where reference exists; else unclassifiable.,Section 4.4 Table 5,v1,2026-07-14
fungal_no_clsi_amphotericin_B,fungal,breakpoint_absent_drug,amphotericin B,Justice Section 4.4: no usable CLSI category for most species — ECV or MIC distribution range only.,master/master_table_v1.csv,26914,"3,257 rows unclassifiable_no_standard",,,ECV tier used where reference exists; else unclassifiable.,Section 4.4 Table 5,v1,2026-07-14
bacterial_din_unresolved,bacterial,unresolved_drug_code,DIN (SOAR 201910),Drug code unresolved pending original SOAR data dictionary — excluded from cross-cohort comparisons (Justice Section 8).,crosswalks/drug_code_crosswalk_v1.csv,1,resolution_status=unresolved; exclude_from_cross_cohort_comparison=TRUE,,,Never guessed; not dropped from crosswalk.,Section 8,v1,2026-07-14
consumption_esac_net_partial_europe,both,partial_coverage,antimicrobial_consumption_ddd,ESAC-Net J01 antibiotic DDD joined for 30 European exports (subgroup sum; partial year ranges in many files). Antifungal consumption not available. Bacterial association and risk ranking use matched country-years only.,bounds/external_join_bacterial_country_year_v1.csv,21,consumption_source=esac_net_j01_subgroup_exports_partial_years,,,Justice Section 8; plan Part 2.3,Section 3.2; Section 8,v1,2026-07-14
